,concept1,concept2,pred,concept1_freq,concept2_freq,concept1_top1_field,concept1_top1_ratio,concept1_top2_field,concept1_top2_ratio,concept2_top1_field,concept2_top1_ratio,concept2_top2_field,concept2_top2_ratio,community1_id,community2_id,c1_community,c2_community
14472,customer-employee and service provider interactions,optimal policy design and analysis,0.513,70,17,service,0.3,organization,0.243,operations,0.765,management,0.235,2,0,Organizational Behavior & HRM,Operations Research & Queueing Theory
14473,frontline employee behavior and management,international relations,0.513,19,13,service,0.684,marketing,0.316,ethics,0.308,management,0.231,2,3,Organizational Behavior & HRM,Institutional & Social Studies
14474,value creation and co-creation in service contexts,gender and employment studies,0.513,17,15,service,0.588,marketing,0.294,organization,0.267,economics,0.2,3,3,Institutional & Social Studies,Institutional & Social Studies
14475,frontline employee behavior and management,new public management (npm) reforms,0.513,19,10,service,0.684,marketing,0.316,organization,0.4,ethics,0.2,2,3,Organizational Behavior & HRM,Institutional & Social Studies
14476,employee satisfaction and related attitudes,procurement strategy and management,0.513,22,19,service,0.364,marketing,0.227,operations,0.421,information_systems,0.211,2,13,Organizational Behavior & HRM,Supply Chain & Contract Management
14477,service experience and journey design,uncertainty and risk in consumer decision-making and valuation,0.513,12,26,service,0.5,operations,0.417,marketing,0.5,operations,0.231,14,4,Service Operations & Design,Platform Economics & Market Design
14478,transformative service research,stochastic inventory systems and control,0.513,17,13,service,0.941,marketing,0.059,operations,1.0,accounting,0.0,3,0,Institutional & Social Studies,Operations Research & Queueing Theory
14479,service experience evaluation and management,multinational corporation and enterprise management,0.513,15,19,service,0.667,operations,0.267,ethics,0.368,human_resources,0.211,14,15,Service Operations & Design,Retailing & Customer Experience
14480,heuristic and metaheuristic optimization methods,justice perceptions and theories in service contexts,0.513,48,13,operations,0.812,management,0.125,service,0.615,ethics,0.154,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14481,employee satisfaction and related attitudes,evolutionary economics and innovation theories,0.513,22,15,service,0.364,marketing,0.227,accounting,0.267,economics,0.267,2,5,Organizational Behavior & HRM,Innovation & Technology Management
14482,service encounter interaction and process,resource scheduling and sequential allocation,0.513,23,15,service,0.609,marketing,0.13,operations,0.6,information_systems,0.2,14,0,Service Operations & Design,Operations Research & Queueing Theory
14483,approximation and asymptotic methods in queueing,"servicescapes and their design, management, and theory",0.513,23,14,operations,0.913,management,0.087,service,0.714,marketing,0.143,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14484,stochastic dynamic programming and control,value cocreation in service contexts,0.513,36,20,operations,0.75,management,0.194,service,0.75,information_systems,0.1,0,18,Operations Research & Queueing Theory,Service-Dominant Logic & Value Co-creation
14485,financial management and resource acquisition,emotional and cognitive responses to service failures,0.513,36,10,operations,0.25,management,0.222,service,0.5,marketing,0.3,6,1,"Finance, Governance & Regulation",Consumer Psychology & Decision Making
14486,integer programming models and formulations,social work and symbolic interaction,0.513,23,14,operations,0.652,management,0.348,service,0.357,human_resources,0.214,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
14487,service encounter interaction and process,managerial science and applications,0.513,23,25,service,0.609,marketing,0.13,management,0.32,marketing,0.16,14,6,Service Operations & Design,"Finance, Governance & Regulation"
14488,value cocreation in service contexts,cost optimization and analysis in queueing systems,0.513,20,14,service,0.75,information_systems,0.1,operations,0.929,management,0.071,18,0,Service-Dominant Logic & Value Co-creation,Operations Research & Queueing Theory
14489,"customer attitudes, perceptions, and behavioral intentions",multinational corporation and enterprise management,0.513,49,19,service,0.367,marketing,0.347,ethics,0.368,human_resources,0.211,7,15,Marketing & Customer Relationship Management,Retailing & Customer Experience
14490,regulatory science and analysis,service encounter evaluation and quality,0.513,17,12,accounting,0.294,ethics,0.176,service,0.75,marketing,0.25,6,1,"Finance, Governance & Regulation",Consumer Psychology & Decision Making
14491,value cocreation in service contexts,career development and management,0.512,20,20,service,0.75,information_systems,0.1,management,0.4,human_resources,0.35,18,3,Service-Dominant Logic & Value Co-creation,Institutional & Social Studies
14492,service experience evaluation and management,last mile delivery systems and operations,0.512,15,14,service,0.667,operations,0.267,operations,0.786,management,0.214,14,13,Service Operations & Design,Supply Chain & Contract Management
14493,social work and symbolic interaction,healthcare reimbursement and payment models,0.512,14,12,service,0.357,human_resources,0.214,operations,0.75,management,0.167,3,10,Institutional & Social Studies,Healthcare Management & Policy
14494,urban transportation systems and planning,"servicescapes and their design, management, and theory",0.512,19,14,operations,0.737,management,0.158,service,0.714,marketing,0.143,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14495,service failure recovery and management,government and public finance,0.512,119,13,service,0.546,marketing,0.319,finance,0.385,economics,0.231,7,6,Marketing & Customer Relationship Management,"Finance, Governance & Regulation"
14496,"servicescapes and their design, management, and theory",organizational decision making,0.512,14,25,service,0.714,marketing,0.143,marketing,0.24,management,0.2,7,8,Marketing & Customer Relationship Management,Strategic Management & Performance
14497,pricing optimization algorithms and heuristics,justice perceptions and theories in service contexts,0.512,16,13,operations,0.5,management,0.125,service,0.615,ethics,0.154,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14498,accounting and finance integration,employee satisfaction and related attitudes,0.512,33,22,accounting,0.394,ethics,0.242,service,0.364,marketing,0.227,6,2,"Finance, Governance & Regulation",Organizational Behavior & HRM
14499,transformative service research,real estate,0.512,17,13,service,0.941,marketing,0.059,finance,0.308,information_systems,0.308,3,4,Institutional & Social Studies,Platform Economics & Market Design
14500,history,emotional and cognitive responses to service failures,0.512,26,10,economics,0.462,management,0.192,service,0.5,marketing,0.3,4,1,Platform Economics & Market Design,Consumer Psychology & Decision Making
14501,new public management (npm) reforms,ai applications in service delivery and systems,0.512,10,10,organization,0.4,ethics,0.2,service,0.8,marketing,0.2,3,17,Institutional & Social Studies,AI & Human-Computer Interaction
14502,"customer attitudes, perceptions, and behavioral intentions",development studies and practices,0.512,49,29,service,0.367,marketing,0.347,economics,0.31,ethics,0.241,7,5,Marketing & Customer Relationship Management,Innovation & Technology Management
14503,customer-employee and service provider interactions,traffic flow and congestion modeling,0.512,70,11,service,0.3,organization,0.243,operations,0.545,management,0.273,2,0,Organizational Behavior & HRM,Operations Research & Queueing Theory
14504,stochastic service systems and performance analysis,justice perceptions and theories in service contexts,0.512,13,13,operations,0.615,management,0.308,service,0.615,ethics,0.154,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14505,two-sided and multi-sided market theories and platforms,employee satisfaction and related attitudes,0.512,25,22,management,0.4,operations,0.24,service,0.364,marketing,0.227,4,2,Platform Economics & Market Design,Organizational Behavior & HRM
14506,service encounter interaction and process,healthcare systems modeling and engineering,0.512,23,11,service,0.609,marketing,0.13,operations,0.727,management,0.273,14,0,Service Operations & Design,Operations Research & Queueing Theory
14507,new service development,gender and employment studies,0.512,22,15,service,0.455,operations,0.318,organization,0.267,economics,0.2,14,3,Service Operations & Design,Institutional & Social Studies
14508,development studies and practices,service encounter evaluation and quality,0.512,29,12,economics,0.31,ethics,0.241,service,0.75,marketing,0.25,5,1,Innovation & Technology Management,Consumer Psychology & Decision Making
